CropType,Weight,VehicleType
Tea,1300,Pickup Truck
Tea,2800,Truck

Coffee,220,Auto
Coffee,780,Mini Truck
Coffee,1400,Pickup Truck
Coffee,3000,Large Truck

Rubber,300,Auto
Rubber,900,Pickup Truck
Rubber,1800,Truck
Rubber,3700,Large Truck

Mango,320,Auto
Mango,880,Pickup Truck
Mango,1600,Truck
Mango,3500,Large Truck

Banana,350,Auto
Banana,950,Pickup Truck
Banana,2100,Truck
Banana,4800,Large Truck

Apple,280,Auto
Apple,820,Pickup Truck
Apple,1700,Truck
Apple,3600,Large Truck

Grapes,250,Auto
Grapes,780,Mini Truck
Grapes,1400,Pickup Truck
Grapes,3000,Large Truck

Orange,260,Auto
Orange,800,Pickup Truck
Orange,1500,Truck
Orange,3200,Large Truck

Papaya,230,Auto
Papaya,720,Mini Truck
Papaya,1350,Pickup Truck
Papaya,2800,Truck

Guava,240,Auto
Guava,760,Mini Truck
Guava,1400,Pickup Truck
Guava,3000,Large Truck

Pomegranate,260,Auto
Pomegranate,820,Pickup Truck
Pomegranate,1700,Truck
Pomegranate,3500,Large Truck

Tomato,200,Auto
Tomato,700,Mini Truck
Tomato,1300,Pickup Truck
Tomato,2700,Truck

Potato,300,Auto
Potato,900,Pickup Truck
Potato,2000,Truck
Potato,4200,Large Truck

Onion,280,Auto
Onion,850,Pickup Truck
Onion,1700,Truck
Onion,3500,Large Truck

Brinjal,220,Auto
Brinjal,750,Mini Truck
Brinjal,1400,Pickup Truck
Brinjal,2900,Truck

Cabbage,240,Auto
Cabbage,780,Mini Truck
Cabbage,1500,Truck
Cabbage,3100,Large Truck

Cauliflower,260,Auto
Cauliflower,820,Pickup Truck
Cauliflower,1600,Truck
Cauliflower,3300,Large Truck

Carrot,200,Auto
Carrot,720,Mini Truck
Carrot,1300,Pickup Truck
Carrot,2800,Truck

Okra,210,Auto
Okra,760,Mini Truck
Okra,1450,Pickup Truck
Okra,3000,Large Truck

Chilli,230,Auto
Chilli,800,Pickup Truck
Chilli,1500,Truck
Chilli,3200,Large Truck
